tag	ms1_cap	ms2_cap	status	peak_fp_mb	wall_s	idx_s	q01	q05	no_signal
ms2_1000_100	-	1000/100	ok	4438	228	68.146213958	4372	5173	522
ms2_2000_100	-	2000/100	ok	7114	279	81.960286625	4412	5340	110
ms2_3000_100	-	3000/100	OOM_KILLED	8261	120	79.425006792			
ms2_1500_100	-	1500/100	ok	5925	167	52.573683791	4328	5290	201
ms1_1000_100	1000/100	-	OOM_KILLED	8231	91				
ms1_2000_100	2000/100	-	OOM_KILLED	8643	100				
ms1_3000_100	3000/100	-	OOM_KILLED	8232	114				
ms2_1000_50	-	1000/50	ok	7100	265	75.93792	4480	5340	118
ms2_4000_200	-	4000/200	ok	7261	263	73.031980042	4495	5252	129
ms2_500_50	-	500/50	ok	4528	204	68.841766167	4433	5230	467
ms2_250_25	-	250/25	ok	4956	136	43.131883292	4437	5226	451
both_3000_2000	3000/100	2000/100	ok	7222	166	48.003342833	4317	5182	135
both_2000_1500	2000/100	1500/100	ok	6223	159	49.699192042	4161	4771	188
ms2_750_100	-	750/100	ok	4923	134	44.1856295	4268	5137	1143
ms1_1500_100	1500/100	-	OOM_KILLED	8773	61				
ms2_4000_100	-	4000/100	OOM_KILLED	8245	69				
both_3000_3000	3000/100	3000/100	OOM_KILLED	8444	77				
ms2_2000_50	-	2000/50	OOM_KILLED	8796	71				
ms2_8000_200	-	8000/200	OOM_KILLED	8193	74				
ms1_4000_100	4000/100	-	OOM_KILLED	8620	63				
SWEEP_DONE total_s=2844
