center	config	seeds	frames	ms	ms1_vis	ms1_cpa	ms1_split	ms1_null	ms1_cos50	ms1_cos95	ms2_frags	ms2_cpa	ms2_split	ms2_null	ms2_cos50	ms2_cos95
450	ref	108	254	566.6ms	88.0	2.25	67.1	7.4	0.975	58.9	1277	2.13	53.8	2.6	0.955	53.6
660	ref	142	285	684.0ms	90.8	2.32	69.8	5.6	0.967	57.4	2171	2.38	60.0	2.0	0.962	56.8
450	nocap	108	254	690.9ms	88.0	2.25	67.1	7.4	0.975	58.9	1931	2.41	62.8	9.9	0.952	51.2
660	nocap	142	285	760.2ms	90.8	2.32	69.8	5.6	0.967	57.4	3157	2.51	61.9	9.9	0.955	51.7
450	cap1000_100	108	254	561.1ms	88.0	2.25	67.1	7.4	0.975	58.9	1232	2.15	54.8	2.8	0.959	54.4
660	cap1000_100	142	285	676.4ms	90.8	2.32	69.8	5.6	0.967	57.4	2112	2.36	59.4	1.8	0.962	56.3
450	cap250_25	108	254	562.6ms	88.0	2.25	67.1	7.4	0.975	58.9	1306	2.09	52.6	2.1	0.958	53.4
660	cap250_25	142	285	659.0ms	90.8	2.32	69.8	5.6	0.967	57.4	2197	2.37	59.4	1.8	0.962	56.8
450	nt	108	254	534.5ms	90.7	2.55	72.4	8.3	0.975	61.2	1274	2.16	53.9	2.6	0.955	53.4
660	nt	142	285	658.6ms	91.5	2.96	82.8	5.6	0.970	60.8	2166	2.46	61.2	1.9	0.963	57.1
450	bins1	108	254	883.2ms	60.2	1.02	2.3	11.1	0.941	43.1	1256	1.23	21.4	2.6	0.955	52.1
660	bins1	142	285	1.0s	56.3	1.06	5.8	11.3	0.951	50.0	2128	1.20	18.1	2.6	0.952	50.8
450	bins2	108	254	1.1s	54.6	1.00	0.0	12.0	0.942	44.1	1190	1.05	5.4	3.2	0.955	52.8
660	bins2	142	285	1.2s	48.6	1.00	0.0	14.8	0.950	52.2	2007	1.04	4.2	2.9	0.951	50.5
450	nt_bins1	108	254	708.6ms	94.4	1.83	57.5	8.3	0.919	39.2	1254	1.61	43.1	2.0	0.955	53.0
660	nt_bins1	142	285	808.0ms	93.7	1.98	69.8	7.7	0.928	43.6	2239	1.73	47.5	2.0	0.955	52.9
450	nt_bins2	108	254	790.7ms	91.7	1.43	41.3	12.0	0.893	38.4	1238	1.34	30.4	2.5	0.954	52.2
660	nt_bins2	142	285	917.2ms	92.3	1.53	44.5	9.9	0.929	42.0	2229	1.39	32.4	2.6	0.952	50.5
450	nt_bins3	108	254	864.9ms	89.8	1.39	36.2	10.2	0.897	39.2	1211	1.16	15.7	2.8	0.955	51.7
660	nt_bins3	142	285	1.0s	93.7	1.33	32.0	11.3	0.907	39.1	2163	1.19	17.5	2.6	0.952	50.9
450	nt_bins2_im3	108	254	816.3ms	83.3	1.21	21.4	10.2	0.868	37.8	1238	1.34	30.4	2.5	0.954	52.2
660	nt_bins2_im3	142	285	952.1ms	81.7	1.32	31.8	10.6	0.905	37.9	2229	1.39	32.4	2.6	0.952	50.5
450	ms1_im1	108	254	590.4ms	94.4	2.53	72.8	7.4	0.972	55.9	1277	2.13	53.8	2.6	0.955	53.6
660	ms1_im1	142	285	699.8ms	93.0	2.70	81.1	4.9	0.979	68.9	2171	2.38	60.0	2.0	0.962	56.8
450	ms1_im3	108	254	640.8ms	87.0	2.24	67.9	8.3	0.976	60.6	1277	2.13	53.8	2.6	0.955	53.6
660	ms1_im3	142	285	673.8ms	88.0	2.23	70.4	6.3	0.962	53.6	2171	2.38	60.0	2.0	0.962	56.8
450	ms1_im4	108	254	591.6ms	86.1	2.27	68.8	8.3	0.973	60.2	1277	2.13	53.8	2.6	0.955	53.6
660	ms1_im4	142	285	719.8ms	88.0	2.23	69.8	6.3	0.960	52.8	2171	2.38	60.0	2.0	0.962	56.8
450	ms2_im2	108	254	589.2ms	88.0	2.25	67.1	7.4	0.975	58.9	1270	2.18	56.2	2.7	0.960	55.3
660	ms2_im2	142	285	711.3ms	90.8	2.32	69.8	5.6	0.967	57.4	2172	2.42	61.2	2.1	0.964	57.7
450	ms2_im5	108	254	582.8ms	88.0	2.25	67.1	7.4	0.975	58.9	1267	2.15	53.2	2.6	0.955	53.0
660	ms2_im5	142	285	736.3ms	90.8	2.32	69.8	5.6	0.967	57.4	2158	2.37	59.1	1.7	0.961	55.7
450	nt_ms1_im3	108	254	596.0ms	88.9	2.34	72.0	8.3	0.973	60.4	1274	2.16	53.9	2.6	0.955	53.4
660	nt_ms1_im3	142	285	651.8ms	90.1	2.58	77.9	6.3	0.969	57.0	2166	2.46	61.2	1.9	0.963	57.1
450	nt_ms1_im4	108	254	604.3ms	88.0	2.28	68.4	8.3	0.973	58.9	1274	2.16	53.9	2.6	0.955	53.4
660	nt_ms1_im4	142	285	655.5ms	89.4	2.28	70.0	6.3	0.960	55.1	2166	2.46	61.2	1.9	0.963	57.1
450	ms1_im0p5	108	254	573.6ms	93.5	3.24	83.3	6.5	0.982	71.3	1277	2.13	53.8	2.6	0.955	53.6
660	ms1_im0p5	142	285	727.0ms	93.7	3.72	88.1	4.9	0.979	71.4	2171	2.38	60.0	2.0	0.962	56.8
450	nt_ms1_im1	108	254	547.3ms	93.5	3.47	85.4	7.4	0.979	64.4	1274	2.16	53.9	2.6	0.955	53.4
660	nt_ms1_im1	142	285	651.5ms	93.7	3.79	89.1	4.9	0.981	73.7	2166	2.46	61.2	1.9	0.963	57.1
450	ms2_im1	108	254	636.9ms	88.0	2.25	67.1	7.4	0.975	58.9	1266	2.28	57.5	2.5	0.963	56.6
660	ms2_im1	142	285	721.8ms	90.8	2.32	69.8	5.6	0.967	57.4	2170	2.70	64.9	2.1	0.966	59.3
450	both_im1	108	254	587.4ms	94.4	2.53	72.8	7.4	0.972	55.9	1266	2.28	57.5	2.5	0.963	56.6
660	both_im1	142	285	689.5ms	93.0	2.70	81.1	4.9	0.979	68.9	2170	2.70	64.9	2.1	0.966	59.3
450	nt_both_im1	108	254	606.1ms	93.5	3.47	85.4	7.4	0.979	64.4	1251	2.46	59.5	2.6	0.962	56.5
660	nt_both_im1	142	285	661.7ms	93.7	3.79	89.1	4.9	0.981	73.7	2131	2.99	66.1	1.9	0.968	60.6
450	ms1_es0	108	254	628.3ms	88.0	2.25	67.1	7.4	0.975	58.9	1277	2.13	53.8	2.6	0.955	53.6
660	ms1_es0	142	285	703.6ms	90.8	2.32	69.8	5.6	0.967	57.4	2171	2.38	60.0	2.0	0.962	56.8
450	ms1_cap60k	108	254	692.0ms	93.5	2.38	67.8	11.1	0.970	55.4	1277	2.13	53.8	2.6	0.955	53.6
660	ms1_cap60k	142	285	731.8ms	93.0	2.50	75.2	12.7	0.968	56.8	2171	2.38	60.0	2.0	0.962	56.8
450	ms1_cap10k	108	254	632.5ms	84.3	2.16	65.8	6.5	0.975	58.2	1277	2.13	53.8	2.6	0.955	53.6
660	ms1_cap10k	142	285	674.4ms	85.2	2.09	60.2	2.8	0.967	62.8	2171	2.38	60.0	2.0	0.962	56.8
DONE
